Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
33,CA-2022-116904,3/17/2022,3/18/2022,First Class,Daniel Byrd,Consumer,East,Technology,Machines,HP LaserJet Pro M402dn,699.99,1,0,209.997
34,CA-2022-116904,3/17/2022,3/18/2022,First Class,Daniel Byrd,Consumer,East,Office Supplies,Art,Sanford Peel-Off Colored Pencils,15.99,3,0,6.396
35,CA-2023-169248,9/11/2023,9/15/2023,Second Class,Catherine Klein,Corporate,South,Technology,Phones,Motorola Edge 30,549.99,2,0,109.998
36,CA-2023-169248,9/11/2023,9/15/2023,Second Class,Catherine Klein,Corporate,South,Office Supplies,Envelopes,Poly String & Button Envelopes,3.264,2,0.2,0.816
37,CA-2021-100153,10/29/2021,11/2/2021,Standard Class,Greg Tran,Consumer,West,Technology,Accessories,Logitech Wireless Mouse,29.99,4,0,11.996
38,CA-2021-100153,10/29/2021,11/2/2021,Standard Class,Greg Tran,Consumer,West,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding,731.94,3,0.2,219.582
39,CA-2022-127180,12/8/2022,12/12/2022,Standard Class,Robin Brennan,Consumer,Central,Furniture,Tables,Bevis 36 x 72 Conference Tables,419.952,4,0.2,41.9952
40,CA-2022-127180,12/8/2022,12/12/2022,Standard Class,Robin Brennan,Consumer,Central,Technology,Accessories,Plantronics Savi W720 Multi-Device,539.97,3,0,161.991
41,CA-2023-143567,7/14/2023,7/18/2023,Second Class,Laura Armstrong,Consumer,East,Technology,Phones,OnePlus 11,699.99,2,0,139.998
42,CA-2023-143567,7/14/2023,7/18/2023,Second Class,Laura Armstrong,Consumer,East,Office Supplies,Paper,HP Office20 lb Paper,35.52,4,0.2,9.94
43,US-2021-157773,3/2/2021,3/7/2021,Standard Class,Adam Hart,Consumer,South,Furniture,Furnishings,Eldon Jumbo ProFile Portable Binder,22.72,4,0,7.384
44,CA-2022-140151,3/14/2022,3/19/2022,Standard Class,Nicole Brennan,Corporate,East,Technology,Machines,Zebra GX430t Thermal Label Printer,1299.99,1,0,389.997
45,CA-2022-140151,3/14/2022,3/19/2022,Standard Class,Nicole Brennan,Corporate,East,Office Supplies,Storage,Eldon Fold N Roll,22.368,3,0,6.7104
46,CA-2023-118255,10/8/2023,10/13/2023,Standard Class,Henry MacAllister,Home Office,Central,Technology,Accessories,Kensington SmartFit,29.99,2,0,11.996
47,CA-2023-118255,10/8/2023,10/13/2023,Standard Class,Henry MacAllister,Home Office,Central,Office Supplies,Supplies,Dixon Prang Watercolor Pens,1.99,3,0.2,0.5970
48,CA-2021-149038,6/7/2021,6/8/2021,First Class,Lena Cacioppo,Corporate,West,Technology,Phones,Cisco IP Phone 7960G,874.99,1,0,262.497
49,CA-2021-149038,6/7/2021,6/8/2021,First Class,Lena Cacioppo,Corporate,West,Office Supplies,Paper,Avery 5 Tab Dividers,6.48,3,0.2,1.944
50,US-2022-113959,11/10/2022,11/15/2022,Standard Class,Joel Eaton,Consumer,South,Technology,Machines,Fellowes Powershred 99Ci,399.99,1,0,119.997
